Designator,Mid X,Mid Y,Rotation,Layer
_5,109.0,-140.75,0.0,top
_4,166.0,-135.5,0.0,top
_3,109.75,-87.5,0.0,top
_2,166.0,-82.25,0.0,top
,147.25,-111.75,0.0,top
B1,202.75,-90.95,270.0,top
D1,107.8,-153.5,90.0,top
D10,145.3,-128.75,90.0,top
D11,145.3,-93.25,90.0,top
D12,145.3,-75.5,90.0,top
D13,164.05,-123.75,90.0,top
D14,164.05,-106.0,90.0,top
D15,164.05,-70.5,90.0,top
D16,182.8,-147.5,90.0,top
D17,182.8,-129.75,90.0,top
D18,182.8,-112.0,90.0,top
D19,182.8,-94.25,90.0,top
D2,107.8,-118.0,90.0,top
D20,182.8,-76.5,90.0,top
D21,201.55,-150.5,90.0,top
D22,201.55,-132.75,90.0,top
D23,201.55,-79.5,90.0,top
D24,201.55,-109.75,90.0,top
D25,201.55,-121.0,90.0,top
D26,107.8,-128.75,90.0,top
D27,107.8,-75.5,90.0,top
D28,145.3,-104.0,90.0,top
D29,164.05,-142.5,90.0,top
D3,107.8,-100.25,90.0,top
D30,164.05,-89.25,90.0,top
D4,126.55,-153.5,90.0,top
D5,126.55,-135.75,90.0,top
D6,126.55,-118.0,90.0,top
D7,126.55,-100.25,90.0,top
D8,126.55,-82.5,90.0,top
D9,145.3,-146.5,90.0,top
JST1,149.25,-97.0,90.0,top
MCU1,184.75,-77.5,180.0,top
S1,100.0,-150.0,180.0,top
S10,118.75,-79.0,180.0,top
S11,137.5,-143.0,180.0,top
S12,137.5,-125.25,180.0,top
S13,137.5,-107.5,180.0,top
S14,137.5,-89.75,180.0,top
S15,137.5,-72.0,180.0,top
S16,156.25,-138.0,180.0,top
S17,156.25,-120.25,180.0,top
S18,156.25,-102.5,180.0,top
S19,156.25,-84.75,180.0,top
S2,100.0,-132.25,180.0,top
S20,156.25,-67.0,180.0,top
S21,175.0,-144.0,180.0,top
S22,175.0,-126.25,180.0,top
S23,175.0,-108.5,180.0,top
S24,175.0,-90.75,180.0,top
S25,175.0,-73.0,180.0,top
S26,193.75,-147.0,180.0,top
S27,193.75,-129.25,180.0,top
S28,193.75,-111.5,180.0,top
S29,193.75,-93.75,180.0,top
S3,100.0,-114.5,180.0,top
S30,193.75,-76.0,180.0,top
S4,100.0,-96.75,180.0,top
S5,100.0,-79.0,180.0,top
S6,118.75,-150.0,180.0,top
S7,118.75,-132.25,180.0,top
S8,118.75,-114.5,180.0,top
S9,118.75,-96.75,180.0,top
T1,202.55,-99.75,270.0,top
