Designator,Mid X,Mid Y,Rotation,Layer
_5,301.0,-116.75,0.0,top
_4,281.5,-135.5,0.0,top
_3,337.75,-87.5,0.0,top
_2,338.5,-140.75,0.0,top
,281.5,-82.25,0.0,top
B1,244.75,-90.95,90.0,top
D1,355.3,-153.5,270.0,top
D10,317.8,-128.75,270.0,top
D11,317.8,-111.0,270.0,top
D12,317.8,-93.25,270.0,top
D13,317.8,-75.5,270.0,top
D14,299.05,-141.5,270.0,top
D15,299.05,-123.75,270.0,top
D16,299.05,-88.25,270.0,top
D17,299.05,-70.5,270.0,top
D18,280.3,-147.5,270.0,top
D19,280.3,-112.0,270.0,top
D2,355.3,-135.75,270.0,top
D20,280.3,-94.25,270.0,top
D21,261.55,-150.5,270.0,top
D22,261.55,-132.75,270.0,top
D23,261.55,-115.0,270.0,top
D24,261.55,-97.25,270.0,top
D25,336.55,-130.25,270.0,top
D26,336.55,-77.0,270.0,top
D27,299.05,-100.5,270.0,top
D28,280.3,-124.25,270.0,top
D29,280.3,-71.0,270.0,top
D3,355.3,-118.0,270.0,top
D30,261.55,-77.0,270.0,top
D4,355.3,-100.25,270.0,top
D5,355.3,-82.5,270.0,top
D6,336.55,-153.5,270.0,top
D7,336.55,-118.0,270.0,top
D8,336.55,-100.25,270.0,top
D9,317.8,-146.5,270.0,top
JST1,295.25,-96.5,270.0,top
MCU1,262.75,-77.5,0.0,top
S1,347.5,-150.0,180.0,top
S10,328.75,-79.0,180.0,top
S11,310.0,-143.0,180.0,top
S12,310.0,-125.25,180.0,top
S13,310.0,-107.5,180.0,top
S14,310.0,-89.75,180.0,top
S15,310.0,-72.0,180.0,top
S16,291.25,-138.0,180.0,top
S17,291.25,-120.25,180.0,top
S18,291.25,-102.5,180.0,top
S19,291.25,-84.75,180.0,top
S2,347.5,-132.25,180.0,top
S20,291.25,-67.0,180.0,top
S21,272.5,-144.0,180.0,top
S22,272.5,-126.25,180.0,top
S23,272.5,-108.5,180.0,top
S24,272.5,-90.75,180.0,top
S25,272.5,-73.0,180.0,top
S26,253.75,-147.0,180.0,top
S27,253.75,-129.25,180.0,top
S28,253.75,-111.5,180.0,top
S29,253.75,-93.75,180.0,top
S3,347.5,-114.5,180.0,top
S30,253.75,-76.0,180.0,top
S4,347.5,-96.75,180.0,top
S5,347.5,-79.0,180.0,top
S6,328.75,-150.0,180.0,top
S7,328.75,-132.25,180.0,top
S8,328.75,-114.5,180.0,top
S9,328.75,-96.75,180.0,top
T1,244.95,-105.75,90.0,top
